aX,aY,aZ,gX,gY,gZ
1.501,-0.376,0.681,-21.484,-75.500,221.680
1.676,-0.397,0.626,-4.333,-72.144,205.994
1.806,-0.476,0.387,20.203,-52.917,157.471
1.506,-0.509,0.205,18.860,-44.922,94.727
1.341,-0.507,0.124,10.315,-51.270,78.003
1.302,-0.542,0.036,-3.906,-58.289,71.106
1.534,-0.546,0.111,-12.024,-36.926,65.979
1.639,-0.541,0.103,-8.423,-32.715,59.448
1.790,-0.460,0.120,-2.441,-28.870,29.480
1.726,-0.531,0.035,-7.202,-27.466,-7.751
1.736,-0.564,0.077,-8.301,-22.644,-31.006
1.868,-0.524,0.199,-0.366,-6.958,-79.651
1.975,-0.577,0.237,21.545,1.526,-137.939
2.019,-0.586,0.282,32.837,4.700,-174.988
2.017,-0.632,0.274,60.242,21.362,-249.878
1.915,-0.654,0.228,84.717,47.729,-320.679
1.823,-0.680,0.217,93.506,62.805,-351.746
1.727,-0.719,0.161,104.736,80.078,-407.166
1.748,-0.644,0.203,115.417,87.585,-460.205
1.700,-0.677,0.235,120.483,82.520,-490.051
1.581,-0.722,0.241,134.521,63.904,-553.833
1.414,-0.679,0.326,153.137,66.528,-607.361
1.310,-0.714,0.378,168.762,58.716,-627.441
1.202,-0.784,0.391,205.078,20.935,-676.086
0.942,-0.672,0.399,218.140,-26.550,-730.713
0.701,-0.643,0.434,217.834,-48.767,-746.277
0.331,-0.424,0.345,228.455,-80.688,-729.126
0.066,-0.238,0.330,221.863,-56.396,-684.082
-0.044,-0.184,0.258,222.656,-42.725,-656.006
-0.426,0.165,0.164,218.384,-30.823,-589.294
-0.575,0.328,0.079,200.012,-56.824,-496.521
-0.559,0.443,0.029,183.472,-71.472,-460.449
-0.636,0.462,-0.041,141.296,-103.394,-416.748
-0.820,0.639,-0.027,98.511,-119.751,-364.807
-0.851,0.636,0.010,84.290,-115.356,-339.722
-1.046,0.400,-0.024,59.204,-90.942,-297.729
-1.028,0.636,0.059,34.424,-100.464,-249.084
-1.074,0.687,0.070,26.794,-98.999,-229.614
-1.168,0.717,0.076,13.794,-85.754,-192.078
-1.161,0.734,0.058,5.920,-66.467,-155.884
-1.157,0.742,0.071,1.709,-62.134,-141.541
-1.148,0.759,0.109,-4.272,-47.363,-113.281
-1.112,0.765,0.144,-3.357,-25.391,-87.708
-1.098,0.770,0.125,0.732,-18.555,-76.111
-1.061,0.809,0.157,6.470,-5.920,-52.795
-1.040,0.873,0.126,15.076,5.737,-29.297
-1.011,0.883,0.109,18.677,9.033,-16.663
-0.982,0.906,0.058,18.982,11.292,7.690
-1.018,0.940,-0.041,14.832,23.499,34.851
-1.061,0.945,-0.062,9.583,32.898,51.941
-1.266,0.988,-0.165,-5.066,47.424,96.558
-1.344,0.989,-0.212,-29.114,57.068,162.659
-1.429,0.977,-0.294,-47.302,55.176,200.623
-1.302,0.836,-0.261,-89.539,49.744,272.522
-1.280,0.782,-0.233,-131.226,51.025,334.961
-1.385,0.670,-0.164,-150.757,61.279,368.591
-1.445,0.582,-0.079,-186.584,79.468,462.097
-1.407,0.504,-0.088,-237.854,35.828,555.298
-1.174,0.080,-0.100,-265.381,-9.949,591.370
-0.854,-0.236,-0.049,-325.134,-107.056,652.832
-0.604,-0.347,-0.017,-345.093,-113.159,684.875
-0.109,-0.754,0.259,-343.384,-92.102,735.535
0.198,-0.759,0.346,-265.686,-34.119,748.779
0.514,-0.587,0.391,-251.892,-18.921,740.906
1.161,-0.393,0.526,-213.623,-42.969,668.091
1.729,-0.258,0.604,-189.697,-59.326,555.237
1.892,-0.207,0.626,-181.213,-63.354,484.253
1.943,-0.272,0.765,-155.212,-72.510,342.285
1.639,-0.316,0.830,-110.901,-59.937,245.728
1.451,-0.343,0.818,-89.355,-52.368,219.849
1.424,-0.414,0.748,-46.875,-39.856,200.684
1.651,-0.463,0.695,-10.620,-29.724,187.195
1.796,-0.520,0.665,4.761,-26.672,172.974
1.983,-0.544,0.575,29.785,-25.574,127.075
2.106,-0.549,0.499,47.913,-37.781,67.505
2.170,-0.567,0.543,54.260,-51.636,34.485
2.332,-0.560,0.650,82.703,-67.505,-52.185
2.346,-0.433,0.708,122.620,-84.412,-150.879
2.169,-0.457,0.701,149.475,-79.163,-197.388
1.746,-0.363,0.513,201.904,-51.636,-263.855
1.505,-0.340,0.244,237.305,-0.671,-295.959
1.504,-0.289,0.102,245.728,17.029,-307.007
1.497,-0.228,-0.057,244.446,46.204,-343.628
1.548,-0.014,-0.144,225.586,76.660,-398.560
1.366,-0.150,-0.097,206.055,57.617,-440.674
1.035,-0.099,0.017,183.899,28.931,-509.277
0.658,-0.080,0.037,184.509,1.587,-533.630
0.506,-0.007,0.003,189.148,-3.235,-530.762
0.243,0.112,-0.006,192.871,3.479,-513.367
0.092,0.179,-0.080,196.655,-21.667,-492.859
-0.025,0.377,-0.138,183.533,-33.691,-481.506
-0.281,0.572,-0.093,143.066,-54.932,-456.848
-0.521,0.685,-0.039,129.761,-41.016,-399.048
-0.574,0.735,-0.048,125.000,-25.024,-364.380
-0.658,0.851,-0.085,117.798,16.052,-285.828
-0.696,0.939,-0.158,107.788,48.401,-214.661
-0.726,1.001,-0.201,97.473,50.354,-181.396
-0.691,1.041,-0.252,63.721,21.912,-123.169
-0.609,1.040,-0.256,25.940,-26.917,-81.604
-0.574,1.031,-0.213,7.690,-48.157,-64.819
-0.443,1.036,-0.097,-20.630,-73.181,-40.100
-0.322,1.029,0.021,-36.804,-63.049,-18.494
-0.268,1.012,0.092,-37.476,-46.509,-9.583
-0.171,0.990,0.167,-33.325,-12.024,0.305
-0.121,0.995,0.227,-19.592,5.737,0.916
-0.096,1.004,0.228,-13.000,7.141,0.366
-0.099,1.026,0.177,-1.465,-0.305,1.831
-0.034,1.030,0.111,4.761,-13.245,7.446
0.037,1.035,0.069,4.395,-17.029,10.376
0.085,1.043,0.041,-2.686,-20.630,10.071
0.119,1.035,0.078,-12.695,-17.395,9.644
0.111,1.042,0.084,-15.320,-14.893,12.085
0.169,1.013,0.114,-18.005,-11.353,13.184
0.205,0.991,0.191,-19.409,-11.536,7.690
0.205,0.971,0.221,-15.442,-11.108,4.456
0.205,0.963,0.243,-4.944,-9.460,-0.793
0.222,0.940,0.229,7.874,-11.047,-5.676
0.208,0.942,0.207,13.855,-11.841,-7.935
0.199,0.975,0.162,20.935,-13.489,-14.465

2.074,-0.425,-0.020,-100.220,-118.347,413.452
2.049,-0.454,-0.038,-103.638,-100.281,352.112
1.966,-0.599,-0.064,-111.389,-73.181,282.288
2.219,-0.695,-0.029,-103.271,-69.824,250.610
2.398,-0.705,0.002,-99.670,-70.129,231.689
2.815,-0.812,0.140,-86.975,-35.400,182.678
3.067,-0.868,0.289,-55.359,10.742,100.586
3.094,-0.871,0.345,-37.109,24.902,49.805
3.045,-0.803,0.328,-2.563,30.579,-59.143
2.971,-0.781,0.298,19.958,10.010,-176.697
2.838,-0.783,0.289,34.363,2.441,-237.122
2.435,-0.717,0.332,72.998,6.836,-338.379
2.040,-0.649,0.398,105.286,32.593,-409.180
1.942,-0.380,0.259,127.136,55.298,-432.983
1.644,-0.564,0.520,154.846,62.683,-498.901
1.427,-0.529,0.444,188.477,76.965,-560.425
1.271,-0.524,0.433,204.773,84.961,-589.294
0.968,-0.487,0.282,236.938,98.633,-630.310
0.721,-0.452,0.196,254.761,88.196,-653.503
0.631,-0.427,0.131,257.263,73.364,-665.527
0.304,-0.206,0.052,233.337,47.668,-682.373
0.037,-0.038,0.081,205.811,12.695,-645.264
-0.232,0.137,0.088,204.163,7.385,-609.192
-0.391,0.246,0.053,208.435,4.578,-547.302
-0.538,0.295,0.044,220.154,21.118,-468.628
-0.791,0.471,-0.074,226.746,29.236,-419.312
-0.746,0.427,-0.279,234.741,53.711,-338.013
-0.669,0.304,-0.441,199.829,45.288,-282.654
-1.074,0.563,-0.448,181.885,19.226,-275.208
-1.363,0.614,-0.482,142.700,-3.845,-221.802
-1.470,0.694,-0.561,124.268,2.136,-183.838
-1.525,0.730,-0.646,79.712,6.775,-104.431
-1.537,0.750,-0.679,23.315,-18.616,-37.048
-1.585,0.768,-0.695,-7.568,-24.536,-6.714
-1.582,0.808,-0.694,-68.665,-16.479,62.988
-1.597,0.772,-0.617,-130.615,1.221,130.920
-1.637,0.749,-0.552,-160.034,14.038,163.635
-1.664,0.663,-0.370,-213.135,40.405,238.892
-1.615,0.531,-0.118,-250.366,45.654,312.805
-1.570,0.481,-0.026,-262.207,42.175,351.074
-1.291,0.414,0.149,-279.541,20.813,427.551
-1.066,0.307,0.195,-285.400,-34.363,501.343
-0.854,0.177,0.170,-292.297,-62.683,535.645
-0.471,-0.033,0.038,-303.833,-132.812,579.224
-0.023,-0.290,-0.084,-323.425,-203.430,606.079
0.168,-0.426,-0.062,-325.073,-224.670,632.507
0.590,-0.697,0.051,-309.937,-220.764,672.058
1.089,-0.814,0.324,-256.104,-148.071,685.242
1.148,-0.833,0.180,-222.229,-72.937,680.908
1.760,-0.684,0.247,-168.884,-31.189,657.166
2.716,-0.571,0.300,-137.939,-10.071,545.349
3.086,-0.452,0.330,-132.080,-11.597,449.280
3.281,-0.413,0.572,-127.991,-28.870,215.698
2.724,-0.501,0.730,-99.304,-31.860,17.456
2.418,-0.510,0.745,-73.547,-44.250,-47.607
1.936,-0.474,0.725,-16.846,-66.467,-116.394
1.675,-0.437,0.684,40.894,-64.941,-137.268
1.614,-0.417,0.628,68.542,-57.678,-139.587
1.514,-0.337,0.564,113.831,-35.767,-142.029
1.396,-0.226,0.488,138.062,-9.521,-148.926
1.341,-0.195,0.429,141.418,-0.488,-152.893
1.306,-0.097,0.336,133.911,7.263,-163.208
1.316,0.010,0.375,117.188,2.869,-193.298
1.271,0.036,0.394,110.229,-6.104,-214.233
1.257,0.050,0.387,105.896,-24.902,-258.118
1.303,0.101,0.436,111.145,-31.982,-304.993
1.278,0.027,0.445,120.422,-23.804,-332.275
1.256,0.045,0.363,154.419,-18.188,-384.705
1.153,0.065,0.367,187.683,-27.954,-430.969
1.012,0.040,0.321,211.670,-24.292,-447.510
0.841,0.087,0.093,247.559,15.686,-463.379
0.631,0.210,-0.114,253.601,53.528,-463.135
0.549,0.302,-0.173,247.620,67.993,-455.139
0.363,0.435,-0.295,225.525,77.332,-425.415
0.167,0.587,-0.340,189.026,74.646,-400.330
0.081,0.651,-0.344,170.349,65.674,-389.526
-0.203,0.716,-0.279,128.662,30.518,-351.440
-0.510,0.820,-0.187,97.778,-2.686,-305.298
-0.486,0.823,-0.208,92.285,-13.855,-266.785
-0.466,0.887,-0.245,77.332,-26.001,-187.256
-0.403,0.963,-0.259,54.993,-8.423,-124.939
-0.398,0.958,-0.307,46.570,3.723,-112.183
-0.363,0.892,-0.275,29.968,19.897,-83.618
-0.352,0.923,-0.237,8.911,24.475,-58.594
-0.352,0.930,-0.207,0.977,21.912,-50.842
-0.331,0.904,-0.158,-11.841,11.719,-36.133
-0.301,0.932,-0.103,-17.212,5.127,-25.757
-0.281,0.929,-0.088,-18.738,2.747,-20.447
-0.255,0.948,-0.041,-18.860,-0.122,-10.742
-0.247,0.964,-0.035,-16.418,-2.136,-0.244
-0.175,0.967,-0.028,-13.733,-5.432,5.981
-0.104,0.976,-0.025,-6.836,-13.794,14.587
-0.042,0.990,-0.028,-4.211,-18.250,18.982
0.038,1.010,-0.053,-4.089,-19.470,19.958
0.098,1.046,-0.084,-8.484,-19.836,19.348
0.115,1.046,-0.084,-13.123,-12.634,17.517
0.146,1.045,-0.050,-15.015,-8.423,20.081
0.193,1.059,-0.034,-18.616,-0.122,21.484
0.209,1.056,-0.018,-20.691,2.808,19.592
0.233,1.042,0.017,-21.057,2.686,19.958
0.249,1.031,0.062,-21.912,1.648,18.127
0.262,1.023,0.086,-19.897,-1.099,16.724
0.280,1.006,0.118,-12.756,-10.986,13.611
0.292,0.996,0.108,-7.263,-18.127,10.010
0.294,0.988,0.093,-4.700,-18.005,9.155
0.320,0.983,0.069,-1.831,-20.874,5.676
0.322,0.974,0.077,-1.038,-22.217,-3.540
0.309,0.992,0.067,0.122,-17.273,-6.653
0.299,0.978,0.084,2.808,-12.146,-7.751
0.289,0.968,0.053,4.761,-8.301,-9.583
0.267,0.963,0.053,4.456,-4.578,-9.155
0.245,0.963,0.061,3.784,3.174,-9.583
0.237,0.940,0.066,4.517,4.944,-6.775
0.242,0.957,0.071,4.150,4.578,-4.700
0.227,0.941,0.052,5.249,4.578,-4.639
0.237,0.953,0.067,9.155,2.258,-3.479
