aX,aY,aZ,gX,gY,gZ
1.501,0.390,0.826,206.970,306.946,91.248
1.693,0.326,1.083,237.549,240.540,71.838
2.109,0.115,1.505,334.656,28.931,-7.507
1.647,-0.245,1.611,445.312,-258.911,-112.549
1.184,-0.461,1.761,487.427,-495.117,-174.927
0.582,-0.944,1.350,478.333,-977.295,-281.921
0.156,-1.155,1.278,387.939,-1226.685,-397.583
-0.312,-1.299,1.680,335.815,-1274.780,-446.045
-1.409,-1.348,2.091,372.437,-1302.368,-517.944
-1.833,-0.666,0.797,563.599,-1173.584,-509.827
-1.851,-0.439,0.151,648.071,-1036.072,-467.163
-2.818,-0.433,-1.342,744.690,-758.118,-311.584
-3.655,0.485,-3.668,653.137,-673.157,-102.600
-3.841,0.675,-4.000,487.549,-623.352,10.864
-2.978,0.245,-3.931,200.562,-429.504,252.136
-1.749,-0.895,-2.370,70.862,-126.587,342.834
-1.540,-1.410,-2.155,19.470,17.517,353.516
-0.013,-1.051,-1.847,-124.390,187.439,234.497
-0.407,-1.118,-1.252,-244.873,452.271,-20.996
-0.686,-0.907,-1.294,-237.183,596.191,-146.057
-1.416,-0.453,-1.835,-195.435,888.916,-334.351
-2.088,-0.005,-2.291,-224.243,1049.072,-371.948
-2.366,0.075,-2.266,-274.719,1079.834,-333.008
-2.854,0.264,-1.567,-386.230,1139.221,-162.231
-2.723,-0.021,-0.462,-469.360,1180.359,115.784
-2.539,-0.525,0.107,-513.794,1167.053,250.854
-2.355,-1.688,0.776,-583.923,1051.270,411.011
-1.209,-1.720,1.995,-531.555,796.143,429.077
0.659,-1.298,2.875,-445.007,650.452,422.607
3.969,0.811,3.578,-165.833,192.261,305.481
3.969,0.985,3.585,182.373,-200.195,11.353
2.013,-0.160,3.019,347.168,-429.687,-134.583
-0.505,-1.088,1.058,569.031,-810.547,-331.177
-0.474,-0.642,0.346,433.044,-1016.479,-360.596
-0.527,-0.170,0.204,288.879,-1067.322,-348.328
-0.804,-0.037,0.775,133.789,-1145.081,-299.316
-0.826,-0.013,0.686,218.811,-1094.482,-263.062
-0.994,-0.153,0.001,303.040,-1007.935,-242.187
-1.250,-0.264,-0.923,417.908,-843.201,-186.707
-1.449,-0.189,-1.317,397.583,-752.136,-122.498
-1.668,-0.139,-2.328,338.318,-684.387,-83.130
-2.033,-0.221,-3.012,187.134,-455.261,-28.870
-2.022,-0.272,-3.224,113.037,-321.289,3.479
-1.720,0.007,-3.212,-21.973,-12.390,17.273
-1.470,-0.238,-2.398,-113.220,282.715,-25.269
-1.435,-0.260,-1.928,-143.494,404.785,-39.734
-1.455,-0.136,-1.456,-161.987,616.516,-66.895
-1.596,0.103,-1.272,-167.053,756.287,-60.913
-1.710,0.193,-1.330,-180.725,797.607,-26.794
-1.843,0.194,-1.189,-245.483,835.266,107.117
-1.779,-0.026,-0.843,-327.393,831.543,272.827
-1.577,-0.417,-0.637,-382.385,806.763,348.206
-1.292,-0.752,-0.309,-483.276,749.695,457.703
-0.730,-1.034,0.318,-499.939,672.058,479.675
-0.367,-1.040,0.419,-458.801,628.174,470.154
0.375,-0.796,0.458,-344.543,543.884,431.396
0.935,-0.333,0.412,-233.582,531.494,353.027
1.014,-0.184,0.349,-187.561,529.785,304.199
1.092,-0.036,0.359,-124.329,524.841,222.351
1.131,0.052,0.496,-95.764,490.356,159.424
1.165,0.086,0.550,-89.478,456.238,135.620
1.290,0.042,0.612,-76.904,369.995,97.717
1.332,0.034,0.686,-64.453,270.630,73.181
1.346,0.006,0.723,-57.617,217.285,64.636
1.362,-0.083,0.740,-42.053,112.366,47.729
1.358,-0.115,0.745,-6.836,36.133,20.325
1.352,-0.125,0.721,15.869,10.925,4.150
1.249,-0.100,0.552,64.697,-6.165,-33.691
1.097,-0.067,0.472,82.275,-46.631,-55.603
1.046,-0.017,0.440,89.355,-52.429,-62.622
0.924,-0.021,0.315,96.741,-59.143,-65.063
0.867,0.018,0.190,95.398,-70.557,-56.946
0.870,0.039,0.152,88.501,-76.721,-51.514
0.876,0.084,0.101,75.195,-80.811,-43.823
0.868,0.105,0.032,67.139,-72.205,-38.940
0.866,0.139,0.024,63.171,-69.946,-36.072
0.890,0.178,-0.001,56.274,-69.214,-30.701
0.922,0.188,-0.015,53.711,-67.627,-29.785
0.915,0.191,-0.048,54.565,-69.031,-31.738
0.913,0.225,-0.083,58.289,-70.435,-34.973
0.915,0.203,-0.119,61.951,-67.810,-36.743
0.927,0.202,-0.137,63.965,-66.711,-38.879
0.903,0.191,-0.175,68.054,-61.340,-38.452
0.904,0.169,-0.209,70.190,-56.458,-38.513
0.897,0.183,-0.214,68.909,-55.054,-36.194
0.897,0.198,-0.261,62.012,-54.504,-33.081
0.893,0.196,-0.263,51.025,-52.246,-29.663
0.899,0.187,-0.282,48.035,-50.293,-27.954
0.894,0.193,-0.300,38.940,-45.715,-28.137
0.902,0.200,-0.293,28.931,-39.185,-25.879
0.914,0.214,-0.292,26.184,-37.415,-25.696
0.896,0.204,-0.316,18.127,-33.203,-23.743
0.898,0.210,-0.309,14.526,-29.419,-21.423
0.900,0.211,-0.319,15.076,-26.855,-20.447
0.898,0.207,-0.314,15.320,-19.470,-17.822
0.893,0.194,-0.315,15.991,-13.245,-15.564
0.903,0.215,-0.324,14.404,-9.094,-13.611
0.918,0.204,-0.294,12.329,-1.465,-11.230
0.932,0.193,-0.284,9.949,5.249,-9.949
0.933,0.193,-0.256,8.850,8.484,-10.925
0.942,0.174,-0.242,9.155,12.146,-13.306
0.938,0.207,-0.239,7.202,12.207,-13.428
